"id_invoice","id_distributor","tanggal","nama_customer","nama_barang","kemasan","jumlah_barang","harga","brand","cabang_sales","group"
"IN6311","EPM","2022-01-23","APOTEK MAJA","ERGOTAMINE COFFEINE","BOTOL",7,"4592.1","ETIKAL","Kuningan","Apotek"
"IN6317","TD","2022-01-23","APOTEK TAPAK","AMPICILLIN","BOTOL",10,"10690.6","MARCKS","Aceh","Apotek"
"IN6318","TD","2022-01-23","APOTEK TAPAK","AMPICILLIN","BOTOL",22,"10690.6","MARCKS","Aceh","Apotek"
"IN6089","EPM","2022-01-25","APOTEK SAHABAT","ERGOTAMINE COFFEINE","BOTOL",9,"4592.1","ETIKAL","Padang","Apotek"
"IN6003","TD","2022-01-27","KLINIK DR. ANDRI","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","TABLET",9,"5648.3","SLCYL","Lampung","Klinik"
"IN6024","TD","2022-01-27","KLINIK DR. ANDRI","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","TABLET",12,"5648.3","SLCYL","Lampung","Klinik"
"IN6036","TA","2022-01-27","APOTEK MAJA","AMBROXOL HC","BOTOL",23,"5780.7","VNS","Kuningan","Apotek"
"IN6058","TD","2022-01-27","KLINIK GM","AMPICILLIN","BOTOL",34,"10690.6","MARCKS","Jakarta","Klinik"
"IN6062","TA","2022-01-27","APOTEK SINAR JAYA","ACYCLOVIR DUS","DUS",12,"1169.91","OGB & PH","Bekasi","Apotek"
"IN6066","EPM","2022-01-27","APOTEK MAJA","AMBROXOL HC","BOTOL",12,"5780.7","VNS","Kuningan","Apotek"
"IN6074","TD","2022-01-27","KLINIK GM","AMPICILLIN","BOTOL",98,"10690.6","MARCKS","Jakarta","Klinik"
"IN6095","TD","2022-01-27","APOTEK MAJA","AMBROXOL HC","BOTOL",5,"5780.7","VNS","Kuningan","Apotek"
"IN6103","TA","2022-01-27","KLINIK SAHABAT","ACYCLOVIR DUS","DUS",15,"4592.1","ETIKAL","Tangerang","Klinik"
"IN6113","TD","2022-01-27","APOTEK SINAR JAYA","ACYCLOVIR DUS","DUS",12,"1169.91","OGB & PH","Bekasi","Apotek"
"IN6118","TD","2022-01-27","KLINIK GM","AMPICILLIN","BOTOL",19,"10690.6","MARCKS","Jakarta","Klinik"
"IN6124","TA","2022-01-27","KLINIK GM","AMPICILLIN","BOTOL",95,"10690.6","MARCKS","Jakarta","Klinik"
"IN6131","TD","2022-01-27","APOTEK MAJA","AMBROXOL HC","BOTOL",10,"5780.7","VNS","Kuningan","Apotek"
"IN6136","TD","2022-01-27","KLINIK SAHABAT","ACYCLOVIR DUS","DUS",78,"4592.1","ETIKAL","Tangerang","Klinik"
"IN6146","TA","2022-01-27","KLINIK GM","AMPICILLIN","BOTOL",25,"10690.6","MARCKS","Jakarta","Klinik"
"IN6161","TA","2022-01-27","KLINIK SAHABAT","ACYCLOVIR DUS","DUS",24,"4592.1","ETIKAL","Tangerang","Klinik"
"IN6173","EPM","2022-01-27","KLINIK SAHABAT","ACYCLOVIR DUS","DUS",12,"4592.1","ETIKAL","Tangerang","Klinik"
"IN6188","TD","2022-01-27","KLINIK DR. ANDRI","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","TABLET",10,"5648.3","SLCYL","Lampung","Klinik"
"IN6205","TA","2022-01-27","APOTEK SINAR JAYA","ACYCLOVIR DUS","DUS",8,"1169.91","OGB & PH","Bekasi","Apotek"
"IN6219","TA","2022-01-27","KLINIK SAHABAT","ACYCLOVIR DUS","DUS",34,"4592.1","ETIKAL","Tangerang","Klinik"
"IN6228","TD","2022-01-27","APOTEK MAJA","AMBROXOL HC","BOTOL",12,"5780.7","VNS","Kuningan","Apotek"
"IN6238","EPM","2022-01-27","APOTEK SINAR JAYA","ACYCLOVIR DUS","DUS",9,"1169.91","OGB & PH","Bekasi","Apotek"
"IN6258","EPM","2022-01-27","KLINIK DR. ANDRI","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","TABLET",1,"5648.3","SLCYL","Lampung","Klinik"
"IN6299","EPM","2022-01-27","KLINIK DR. ANDRI","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","TABLET",12,"5648.3","SLCYL","Lampung","Klinik"
"IN6306","EPM","2022-01-27","APOTEK SINAR JAYA","ACYCLOVIR DUS","DUS",45,"1169.91","OGB & PH","Bekasi","Apotek"
"IN6327","TD","2022-01-27","APOTEK MAJA","AMBROXOL HC","BOTOL",25,"5780.7","VNS","Kuningan","Apotek"
"IN5981","EPM","2022-01-28","APOTEK MERDEKA","TRAMADOL KAPSUL 50 MG","KAPSUL",76,"8700.7","VNS","Bandung","Apotek"
"IN6013","TD","2022-01-28","APOTEK SINAR JAYA","ALERGINE TABLET SALUT","DUS",25,"3991.9","MARCKS","Bekasi","Apotek"
"IN6029","EPM","2022-01-28","KLINIK GM","PARACETAMOL","BOTOL",4,"6940.3","SLCYL","Jakarta","Klinik"
"IN6049","TA","2022-01-28","KLINIK GM","PARACETAMOL","BOTOL",9,"6940.3","SLCYL","Jakarta","Klinik"
"IN6053","EPM","2022-01-28","APOTEK SINAR JAYA","ALERGINE TABLET SALUT","DUS",44,"3991.9","MARCKS","Bekasi","Apotek"
"IN6064","TD","2022-01-28","APOTEK TAPAK","KETOCONAZOLE TABLET 200 MG","TABLET",10,"2819.2","OGB & PH","Aceh","Apotek"
"IN6070","TD","2022-01-28","APOTEK TAPAK","KETOCONAZOLE TABLET 200 MG","TABLET",23,"2819.2","OGB & PH","Aceh","Apotek"
"IN6116","TD","2022-01-28","APOTEK TAPAK","KETOCONAZOLE TABLET 200 MG","TABLET",67,"2819.2","OGB & PH","Aceh","Apotek"
"IN6119","TA","2022-01-28","KLINIK GM","PARACETAMOL","BOTOL",14,"6940.3","SLCYL","Jakarta","Klinik"
"IN6141","TD","2022-01-28","APOTEK SAHABAT","ALERGINE TABLET SALUT","DUS",25,"2337.5","ETIKAL","Padang","Apotek"
"IN6162","TA","2022-01-28","APOTEK MERDEKA","TRAMADOL KAPSUL 50 MG","KAPSUL",12,"8700.7","VNS","Bandung","Apotek"
"IN6167","EPM","2022-01-28","APOTEK SAHABAT","ALERGINE TABLET SALUT","DUS",12,"2337.5","ETIKAL","Padang","Apotek"
"IN6172","EPM","2022-01-28","APOTEK SINAR JAYA","ALERGINE TABLET SALUT","DUS",12,"3991.9","MARCKS","Bekasi","Apotek"
"IN6184","TA","2022-01-28","APOTEK TAPAK","KETOCONAZOLE TABLET 200 MG","TABLET",25,"2819.2","OGB & PH","Aceh","Apotek"
"IN6199","TD","2022-01-28","KLINIK GM","PARACETAMOL","BOTOL",25,"6940.3","SLCYL","Jakarta","Klinik"
"IN6200","TA","2022-01-28","APOTEK MERDEKA","TRAMADOL KAPSUL 50 MG","KAPSUL",5,"8700.7","VNS","Bandung","Apotek"
"IN6214","TD","2022-01-28","APOTEK SAHABAT","ALERGINE TABLET SALUT","DUS",21,"2337.5","ETIKAL","Padang","Apotek"
"IN6230","EPM","2022-01-28","APOTEK MERDEKA","TRAMADOL KAPSUL 50 MG","KAPSUL",14,"8700.7","VNS","Bandung","Apotek"
"IN6246","TA","2022-01-28","APOTEK MERDEKA","TRAMADOL KAPSUL 50 MG","KAPSUL",34,"8700.7","VNS","Bandung","Apotek"
"IN6247","TA","2022-01-28","APOTEK TAPAK","KETOCONAZOLE TABLET 200 MG","TABLET",10,"2819.2","OGB & PH","Aceh","Apotek"
"IN6253","TD","2022-01-28","APOTEK SAHABAT","ALERGINE TABLET SALUT","DUS",34,"2337.5","ETIKAL","Padang","Apotek"
"IN6262","TA","2022-01-28","KLINIK GM","PARACETAMOL","BOTOL",67,"6940.3","SLCYL","Jakarta","Klinik"
"IN6292","EPM","2022-01-28","APOTEK SINAR JAYA","ALERGINE TABLET SALUT","DUS",10,"3991.9","MARCKS","Bekasi","Apotek"
"IN6303","TD","2022-01-28","KLINIK GM","PARACETAMOL","BOTOL",95,"6940.3","SLCYL","Jakarta","Klinik"
"IN6314","TA","2022-01-28","APOTEK SINAR JAYA","ALERGINE TABLET SALUT","DUS",45,"3991.9","MARCKS","Bekasi","Apotek"
"IN6325","EPM","2022-01-28","APOTEK SAHABAT","ALERGINE TABLET SALUT","DUS",9,"2337.5","ETIKAL","Padang","Apotek"
"IN5982","TD","2022-01-30","APOTEK SINAR JAYA","KETOCONAZOLE TABLET 200 MG","TABLET",5,"2819.2","OGB & PH","Bekasi","Apotek"
"IN6008","TA","2022-01-30","KLINIK DR. ANDRI","TRAMADOL KAPSUL 50 MG","KAPSUL",12,"6940.3","SLCYL","Lampung","Klinik"
"IN6025","TA","2022-01-30","APOTEK MAJA","TRAMADOL KAPSUL 50 MG","KAPSUL",7,"8700.7","VNS","Kuningan","Apotek"
"IN6038","TA","2022-01-30","KLINIK GM","TETRACYCLINE KAPSUL 250 MG","KAPSUL",98,"3991.9","MARCKS","Jakarta","Klinik"
"IN6083","EPM","2022-01-30","KLINIK GM","TETRACYCLINE KAPSUL 250 MG","KAPSUL",2,"3991.9","MARCKS","Jakarta","Klinik"
"IN6099","EPM","2022-01-30","KLINIK GM","TETRACYCLINE KAPSUL 250 MG","KAPSUL",5,"3991.9","MARCKS","Jakarta","Klinik"
"IN6104","EPM","2022-01-30","APOTEK MAJA","TRAMADOL KAPSUL 50 MG","KAPSUL",45,"8700.7","VNS","Kuningan","Apotek"
"IN6107","EPM","2022-01-30","KLINIK SAHABAT","ALERGINE TABLET SALUT","DUS",24,"2337.5","ETIKAL","Tangerang","Klinik"
"IN6108","TA","2022-01-30","KLINIK DR. ANDRI","TRAMADOL KAPSUL 50 MG","KAPSUL",21,"6940.3","SLCYL","Lampung","Klinik"
"IN6122","TD","2022-01-30","APOTEK SINAR JAYA","KETOCONAZOLE TABLET 200 MG","TABLET",21,"2819.2","OGB & PH","Bekasi","Apotek"
"IN6163","TD","2022-01-30","KLINIK SAHABAT","ALERGINE TABLET SALUT","DUS",5,"2337.5","ETIKAL","Tangerang","Klinik"
"IN6170","TD","2022-01-30","APOTEK SINAR JAYA","KETOCONAZOLE TABLET 200 MG","TABLET",14,"2819.2","OGB & PH","Bekasi","Apotek"
"IN6176","EPM","2022-01-30","APOTEK MAJA","TRAMADOL KAPSUL 50 MG","KAPSUL",18,"8700.7","VNS","Kuningan","Apotek"
"IN6208","TD","2022-01-30","APOTEK SINAR JAYA","KETOCONAZOLE TABLET 200 MG","TABLET",8,"2819.2","OGB & PH","Bekasi","Apotek"
"IN6235","TD","2022-01-30","KLINIK SAHABAT","ALERGINE TABLET SALUT","DUS",10,"2337.5","ETIKAL","Tangerang","Klinik"
"IN6240","EPM","2022-01-30","KLINIK SAHABAT","ALERGINE TABLET SALUT","DUS",48,"2337.5","ETIKAL","Tangerang","Klinik"
"IN6245","TD","2022-01-30","KLINIK GM","TETRACYCLINE KAPSUL 250 MG","KAPSUL",34,"3991.9","MARCKS","Jakarta","Klinik"
"IN6248","TD","2022-01-30","KLINIK GM","TETRACYCLINE KAPSUL 250 MG","KAPSUL",100,"3991.9","MARCKS","Jakarta","Klinik"
"IN6256","TA","2022-01-30","APOTEK MAJA","TRAMADOL KAPSUL 50 MG","KAPSUL",12,"8700.7","VNS","Kuningan","Apotek"
"IN6276","TD","2022-01-30","KLINIK SAHABAT","ALERGINE TABLET SALUT","DUS",1,"2337.5","ETIKAL","Tangerang","Klinik"
"IN6278","TD","2022-01-30","KLINIK DR. ANDRI","TRAMADOL KAPSUL 50 MG","KAPSUL",14,"6940.3","SLCYL","Lampung","Klinik"
"IN6279","TD","2022-01-30","KLINIK DR. ANDRI","TRAMADOL KAPSUL 50 MG","KAPSUL",20,"6940.3","SLCYL","Lampung","Klinik"
"IN6281","TA","2022-01-30","APOTEK SINAR JAYA","KETOCONAZOLE TABLET 200 MG","TABLET",10,"2819.2","OGB & PH","Bekasi","Apotek"
"IN6287","TD","2022-01-30","KLINIK SAHABAT","ALERGINE TABLET SALUT","DUS",17,"2337.5","ETIKAL","Tangerang","Klinik"
"IN6305","TA","2022-01-30","APOTEK MAJA","TRAMADOL KAPSUL 50 MG","KAPSUL",14,"8700.7","VNS","Kuningan","Apotek"
"IN6323","TA","2022-01-30","KLINIK DR. ANDRI","TRAMADOL KAPSUL 50 MG","KAPSUL",6,"6940.3","SLCYL","Lampung","Klinik"
"IN6015","TD","2022-01-31","APOTEK SINAR JAYA","AMPICILLIN","BOTOL",5,"10690.6","MARCKS","Bekasi","Apotek"
"IN6040","EPM","2022-01-31","APOTEK TAPAK","ACYCLOVIR DUS","DUS",10,"1169.91","OGB & PH","Aceh","Apotek"
"IN6042","TD","2022-01-31","APOTEK MERDEKA","AMBROXOL HC","BOTOL",67,"5780.7","VNS","Bandung","Apotek"
"IN6045","TA","2022-01-31","APOTEK SAHABAT","ERGOTAMINE COFFEINE","BOTOL",21,"4592.1","ETIKAL","Padang","Apotek"
"IN6048","EPM","2022-01-31","KLINIK GM","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","TABLET",25,"5648.3","SLCYL","Jakarta","Klinik"
"IN6050","TD","2022-01-31","KLINIK GM","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","TABLET",34,"5648.3","SLCYL","Jakarta","Klinik"
"IN6068","TD","2022-01-31","APOTEK SAHABAT","ERGOTAMINE COFFEINE","BOTOL",6,"4592.1","ETIKAL","Padang","Apotek"
"IN6079","EPM","2022-01-31","KLINIK GM","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","TABLET",34,"5648.3","SLCYL","Jakarta","Klinik"
"IN6102","TA","2022-01-31","APOTEK SINAR JAYA","AMPICILLIN","BOTOL",11,"10690.6","MARCKS","Bekasi","Apotek"
"IN6130","EPM","2022-01-31","APOTEK MERDEKA","AMBROXOL HC","BOTOL",5,"5780.7","VNS","Bandung","Apotek"
"IN6148","TA","2022-01-31","APOTEK SAHABAT","ERGOTAMINE COFFEINE","BOTOL",9,"4592.1","ETIKAL","Padang","Apotek"
"IN6152","TD","2022-01-31","APOTEK SINAR JAYA","AMPICILLIN","BOTOL",10,"10690.6","MARCKS","Bekasi","Apotek"
"IN6175","TD","2022-01-31","KLINIK GM","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","TABLET",18,"5648.3","SLCYL","Jakarta","Klinik"
"IN6186","TA","2022-01-31","APOTEK TAPAK","ACYCLOVIR DUS","DUS",18,"1169.91","OGB & PH","Aceh","Apotek"
"IN6191","TA","2022-01-31","APOTEK SINAR JAYA","AMPICILLIN","BOTOL",4,"10690.6","MARCKS","Bekasi","Apotek"
"IN6195","TA","2022-01-31","APOTEK MERDEKA","AMBROXOL HC","BOTOL",67,"5780.7","VNS","Bandung","Apotek"
"IN6196","TA","2022-01-31","APOTEK TAPAK","ACYCLOVIR DUS","DUS",45,"1169.91","OGB & PH","Aceh","Apotek"
"IN6203","EPM","2022-01-31","KLINIK GM","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","TABLET",100,"5648.3","SLCYL","Jakarta","Klinik"
"IN6226","EPM","2022-01-31","APOTEK SAHABAT","ERGOTAMINE COFFEINE","BOTOL",23,"4592.1","ETIKAL","Padang","Apotek"
"IN6241","EPM","2022-01-31","APOTEK TAPAK","ACYCLOVIR DUS","DUS",79,"1169.91","OGB & PH","Aceh","Apotek"
"IN6244","TD","2022-01-31","APOTEK SINAR JAYA","AMPICILLIN","BOTOL",21,"10690.6","MARCKS","Bekasi","Apotek"
"IN6255","TA","2022-01-31","APOTEK SAHABAT","ERGOTAMINE COFFEINE","BOTOL",22,"4592.1","ETIKAL","Padang","Apotek"
"IN6263","TA","2022-01-31","APOTEK SINAR JAYA","AMPICILLIN","BOTOL",130,"10690.6","MARCKS","Bekasi","Apotek"
"IN6321","EPM","2022-01-31","APOTEK TAPAK","ACYCLOVIR DUS","DUS",22,"1169.91","OGB & PH","Aceh","Apotek"
"IN6322","TD","2022-01-31","APOTEK MERDEKA","AMBROXOL HC","BOTOL",17,"5780.7","VNS","Bandung","Apotek"
"IN6326","TD","2022-01-31","APOTEK MERDEKA","AMBROXOL HC","BOTOL",4,"5780.7","VNS","Bandung","Apotek"
"IN5994","TD","2022-02-01","APOTEK MAJA","ALERGINE TABLET SALUT","DUS",12,"2337.5","ETIKAL","Kuningan","Apotek"
"IN6005","EPM","2022-02-01","APOTEK TAPAK","TETRACYCLINE KAPSUL 250 MG","KAPSUL",12,"3991.9","MARCKS","Aceh","Apotek"
"IN6017","TA","2022-02-01","APOTEK SAHABAT","TRAMADOL KAPSUL 50 MG","KAPSUL",23,"8700.7","VNS","Padang","Apotek"
"IN6023","EPM","2022-02-01","KLINIK SAHABAT","PARACETAMOL","BOTOL",15,"6940.3","SLCYL","Tangerang","Klinik"
"IN6054","TD","2022-02-01","APOTEK MERDEKA","KETOCONAZOLE TABLET 200 MG","TABLET",34,"2819.2","OGB & PH","Bandung","Apotek"
"IN6060","TD","2022-02-01","APOTEK SAHABAT","TRAMADOL KAPSUL 50 MG","KAPSUL",22,"8700.7","VNS","Padang","Apotek"
"IN6063","TD","2022-02-01","APOTEK TAPAK","TETRACYCLINE KAPSUL 250 MG","KAPSUL",12,"3991.9","MARCKS","Aceh","Apotek"
"IN6072","EPM","2022-02-01","APOTEK TAPAK","TETRACYCLINE KAPSUL 250 MG","KAPSUL",1,"3991.9","MARCKS","Aceh","Apotek"
"IN6084","TD","2022-02-01","APOTEK MAJA","ALERGINE TABLET SALUT","DUS",67,"2337.5","ETIKAL","Kuningan","Apotek"
"IN6120","TD","2022-02-01","APOTEK MERDEKA","KETOCONAZOLE TABLET 200 MG","TABLET",14,"2819.2","OGB & PH","Bandung","Apotek"
"IN6128","TA","2022-02-01","APOTEK TAPAK","TETRACYCLINE KAPSUL 250 MG","KAPSUL",79,"3991.9","MARCKS","Aceh","Apotek"
"IN6133","TA","2022-02-01","KLINIK SAHABAT","PARACETAMOL","BOTOL",78,"6940.3","SLCYL","Tangerang","Klinik"
"IN6134","TD","2022-02-01","APOTEK MAJA","ALERGINE TABLET SALUT","DUS",12,"2337.5","ETIKAL","Kuningan","Apotek"
"IN6185","TA","2022-02-01","APOTEK SAHABAT","TRAMADOL KAPSUL 50 MG","KAPSUL",9,"8700.7","VNS","Padang","Apotek"
"IN6211","EPM","2022-02-01","APOTEK MAJA","ALERGINE TABLET SALUT","DUS",18,"2337.5","ETIKAL","Kuningan","Apotek"
"IN6243","TD","2022-02-01","APOTEK MERDEKA","KETOCONAZOLE TABLET 200 MG","TABLET",67,"2819.2","OGB & PH","Bandung","Apotek"
"IN6259","TA","2022-02-01","APOTEK MERDEKA","KETOCONAZOLE TABLET 200 MG","TABLET",19,"2819.2","OGB & PH","Bandung","Apotek"
"IN6266","EPM","2022-02-01","APOTEK MAJA","ALERGINE TABLET SALUT","DUS",34,"2337.5","ETIKAL","Kuningan","Apotek"
"IN6267","TA","2022-02-01","KLINIK SAHABAT","PARACETAMOL","BOTOL",8,"6940.3","SLCYL","Tangerang","Klinik"
"IN6269","EPM","2022-02-01","APOTEK SAHABAT","TRAMADOL KAPSUL 50 MG","KAPSUL",12,"8700.7","VNS","Padang","Apotek"
"IN6274","EPM","2022-02-01","APOTEK SAHABAT","TRAMADOL KAPSUL 50 MG","KAPSUL",8,"8700.7","VNS","Padang","Apotek"
"IN6291","TD","2022-02-01","KLINIK SAHABAT","PARACETAMOL","BOTOL",11,"6940.3","SLCYL","Tangerang","Klinik"
"IN6293","TD","2022-02-01","KLINIK SAHABAT","PARACETAMOL","BOTOL",4,"6940.3","SLCYL","Tangerang","Klinik"
"IN6300","EPM","2022-02-01","APOTEK TAPAK","TETRACYCLINE KAPSUL 250 MG","KAPSUL",22,"3991.9","MARCKS","Aceh","Apotek"
"IN6301","EPM","2022-02-01","APOTEK SAHABAT","TRAMADOL KAPSUL 50 MG","KAPSUL",12,"8700.7","VNS","Padang","Apotek"
"IN6320","TD","2022-02-01","APOTEK MERDEKA","KETOCONAZOLE TABLET 200 MG","TABLET",67,"2819.2","OGB & PH","Bandung","Apotek"
"IN6254","TA","2022-02-02","KLINIK DR. ANDRI","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","TABLET",12,"5648.3","SLCYL","Lampung","Klinik"
"IN6171","EPM","2022-02-03","APOTEK TAPAK","KETOCONAZOLE TABLET 200 MG","TABLET",25,"2819.2","OGB & PH","Aceh","Apotek"
"IN6002","TD","2022-02-04","APOTEK MAJA","ERGOTAMINE COFFEINE","BOTOL",14,"4592.1","ETIKAL","Kuningan","Apotek"
"IN6261","TA","2022-02-05","KLINIK GM","TETRACYCLINE KAPSUL 250 MG","KAPSUL",24,"3991.9","MARCKS","Jakarta","Klinik"
"IN6088","EPM","2022-02-06","APOTEK MERDEKA","AMBROXOL HC","BOTOL",10,"5780.7","VNS","Bandung","Apotek"
"IN6181","TD","2022-02-07","KLINIK SAHABAT","PARACETAMOL","BOTOL",130,"6940.3","SLCYL","Tangerang","Klinik"
"IN6135","TA","2022-02-08","APOTEK SINAR JAYA","ACYCLOVIR DUS","DUS",12,"1169.91","OGB & PH","Bekasi","Apotek"
"IN5988","EPM","2022-02-09","APOTEK SAHABAT","ALERGINE TABLET SALUT","DUS",10,"2337.5","ETIKAL","Padang","Apotek"
"IN6234","TD","2022-02-10","APOTEK TAPAK","AMPICILLIN","BOTOL",67,"10690.6","MARCKS","Aceh","Apotek"
"IN6319","TD","2022-02-11","APOTEK MAJA","TRAMADOL KAPSUL 50 MG","KAPSUL",98,"8700.7","VNS","Kuningan","Apotek"
"IN6006","TA","2022-02-12","KLINIK GM","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","TABLET",5,"5648.3","SLCYL","Jakarta","Klinik"
"IN6147","EPM","2022-02-13","APOTEK MERDEKA","KETOCONAZOLE TABLET 200 MG","TABLET",4,"2819.2","OGB & PH","Bandung","Apotek"
"IN6129","TD","2022-02-14","KLINIK SAHABAT","ACYCLOVIR DUS","DUS",8,"4592.1","ETIKAL","Tangerang","Klinik"
"IN5986","TA","2022-02-15","APOTEK SINAR JAYA","ALERGINE TABLET SALUT","DUS",9,"3991.9","MARCKS","Bekasi","Apotek"
"IN6026","EPM","2022-02-16","APOTEK SAHABAT","AMPICILLIN","BOTOL",21,"5780.7","VNS","Padang","Apotek"
"IN6224","TD","2022-02-17","KLINIK DR. ANDRI","TRAMADOL KAPSUL 50 MG","KAPSUL",22,"6940.3","SLCYL","Lampung","Klinik"
"IN6087","TA","2022-02-18","APOTEK TAPAK","ACYCLOVIR DUS","DUS",12,"1169.91","OGB & PH","Aceh","Apotek"
"IN6096","EPM","2022-02-19","APOTEK MAJA","ALERGINE TABLET SALUT","DUS",25,"2337.5","ETIKAL","Kuningan","Apotek"
"IN6034","TD","2022-02-20","KLINIK GM","AMPICILLIN","BOTOL",14,"10690.6","MARCKS","Jakarta","Klinik"
"IN6231","TD","2022-02-21","APOTEK MERDEKA","TRAMADOL KAPSUL 50 MG","KAPSUL",24,"8700.7","VNS","Bandung","Apotek"
"IN6260","TA","2022-02-22","KLINIK SAHABAT","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","TABLET",10,"5648.3","SLCYL","Tangerang","Klinik"
